variation_name,chunk_size,top_k,expand_context,top_k_docs,chunking_strategy,use_hybrid,hybrid_alpha,doc_retrieval,deductible_id,base_rate_id,factor_id,calculation,total_score,doc_retrieval_reason,deductible_id_reason,base_rate_id_reason,factor_id_reason,calculation_reason,answer_preview,execution_time,chunks_retrieved
chunk_400_topk_3_window0_docs5_document,400,3,0,5,document,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",96.89,15
chunk_2000_topk_1_window0_docs5_page,2000,1,0,5,page,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",87.77,5
chunk_800_topk_1_window1_docs5_document,800,1,1,5,document,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",104.99,15
chunk_400_topk_5_window0_docs5_page,400,5,0,5,page,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",90.54,25
chunk_400_topk_3_window0_docs5_page,400,3,0,5,page,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",96.21,15
chunk_2000_topk_1_window0_docs5_document,2000,1,0,5,document,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",88.96,5
chunk_800_topk_1_window1_docs5_page,800,1,1,5,page,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",107.55,15
chunk_800_topk_3_window0_docs5_page,800,3,0,5,page,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",91.35,15
chunk_400_topk_5_window0_docs5_document,400,5,0,5,document,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",89.65,25
chunk_800_topk_3_window0_docs5_document,800,3,0,5,document,True,0.5,20.0,20.0,0.0,5.0,10.0,55.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",90.12,15
